transaction_id,amount,hour,account_age_days,transactions_last_hour,failed_transactions,distance_from_home,is_fraud
112,1811.5,9,1635,2,0,17.13,0
113,602.42,21,2662,3,1,33.71,0
114,752.98,11,1795,2,0,40.43,0
115,590.03,16,1850,2,0,29.22,0
116,1518.43,3,1016,2,1,23.89,1
117,699.15,7,263,0,0,18.4,0
118,5102.09,10,87,1,0,50.29,0
119,936.19,18,2269,3,0,34.44,0
120,1661.27,7,2411,0,0,14.38,0
121,3011.09,7,30,1,2,4.2,1
122,7370.67,2,2900,0,0,0.57,0
123,2423.51,20,242,2,0,20.12,0
124,3281.2,7,277,2,0,34.65,0
125,144.31,1,1354,1,0,13.69,0
126,1021.96,2,2106,2,0,26.62,0
127,3269.0,7,1141,3,0,3.49,0
128,2725.29,21,1989,2,0,17.44,0
129,2052.51,6,2209,2,2,27.44,0
130,288.15,4,2963,1,1,16.4,0
131,2342.01,18,2361,6,0,23.59,0
132,2517.61,15,996,1,1,19.15,0
133,10627.41,15,1668,4,1,13.1,0
134,240.23,6,387,3,0,25.02,0
135,4692.29,3,2700,3,0,29.27,0
136,18546.58,13,1452,2,0,15.94,0
137,6206.74,13,1684,3,1,8.99,0
138,1054.24,14,2987,1,0,1.1,0
139,1674.66,1,2759,2,2,34.69,0
140,1889.96,20,2647,1,1,10.72,0
141,3146.44,3,249,2,0,2.54,0
142,1292.93,12,2983,0,4,3.89,0
143,4259.41,10,448,1,1,19.06,0
144,2603.12,7,785,0,1,15.31,0
145,6587.87,6,2197,5,0,12.59,0
146,2054.8,14,575,0,0,0.38,0
147,237.55,13,752,3,1,28.64,0
148,6326.73,8,1895,7,1,51.93,1
149,6382.64,7,309,1,1,39.13,0
150,5110.7,14,2255,2,0,1.34,0
151,11919.49,3,208,2,0,8.84,0
152,2337.86,20,2215,4,2,19.38,0
153,3694.77,0,383,0,0,38.9,1
154,6156.34,7,682,3,1,15.46,0
155,1172.96,13,1990,3,0,9.6,0
156,3549.4,15,876,1,1,11.45,0
157,9039.46,12,241,1,1,9.55,0
158,12401.31,5,1553,2,0,48.2,0
159,3163.79,0,1600,4,2,24.2,0
160,422.08,8,1864,0,1,27.15,0
161,1970.58,9,1733,0,0,1.47,0
162,2029.43,22,2993,0,0,51.02,0
163,4791.92,17,2712,2,0,5.95,0
164,1034.5,22,1994,3,0,33.48,0
165,831.39,4,778,2,1,10.58,0
166,2187.64,9,892,0,0,15.54,0
167,245.51,1,2373,1,0,34.78,0
168,549.9,23,2221,0,1,27.47,0
169,8256.58,1,1285,0,0,28.96,0
170,4854.35,1,206,2,1,22.87,0
171,1806.18,18,1953,3,0,1.97,0
172,742.36,16,2176,2,1,5.32,0
173,2431.49,5,233,4,0,4.95,0
174,893.94,16,329,4,0,19.23,0
175,13182.19,5,281,0,1,48.68,0
176,6200.72,19,279,2,0,5.82,0
177,709.68,21,964,3,2,21.48,0
178,851.99,12,492,3,0,9.17,0
179,1488.21,18,1009,3,1,14.06,0
180,229.01,18,2436,1,0,24.54,0
181,1691.03,1,2537,2,0,31.94,0
182,5576.98,2,1718,3,0,39.45,0
183,176.34,21,2391,2,0,29.65,0
184,2123.17,18,2142,0,0,13.39,0
185,10067.41,10,1069,0,2,34.96,0
186,3297.62,6,2744,1,0,42.93,0
187,676.39,22,1287,2,1,11.19,0
188,5462.61,7,1088,5,0,19.35,0
189,3508.97,12,537,2,0,0.43,0
190,22325.17,21,2644,0,1,20.93,0
191,4575.09,9,1873,4,1,29.43,0
192,5108.51,10,298,0,0,27.71,1
193,1177.29,0,1878,2,0,16.05,0
194,773.48,19,2307,0,0,8.93,0
195,2898.73,3,301,3,0,12.79,0
196,2288.15,17,874,5,0,17.91,1
197,3127.9,16,1087,3,1,14.33,0
198,1005.88,4,1430,2,0,4.01,0
199,3777.94,2,1001,1,0,26.0,0
200,2234.35,11,1168,1,0,4.37,0
201,9884.59,5,1795,3,1,39.12,0
202,776.62,17,2882,1,0,22.68,0
203,6908.45,9,2506,1,1,9.1,0
204,301.24,20,2167,3,2,39.95,0
205,71.77,0,2736,3,0,13.23,0
206,440.07,17,1227,2,1,66.59,0
207,412.25,21,425,0,1,7.42,0
208,6738.36,4,1084,1,0,10.93,0
209,215.85,3,439,1,1,35.62,0
210,2284.01,23,2267,1,2,17.17,0
211,3935.24,4,1116,1,0,4.81,0
212,305.02,9,2478,2,1,27.59,0
213,802.24,6,2940,1,2,16.5,0
214,280.05,10,834,1,2,39.54,0
215,1083.46,21,2598,1,0,16.74,0
216,1517.42,8,2071,3,0,29.16,0
217,5720.0,15,1029,2,1,26.37,0
218,253.14,1,379,1,1,26.99,0
219,3073.07,20,1735,1,2,42.8,0
220,2094.88,8,181,1,0,26.16,0
221,78.45,0,1367,0,1,13.59,0
222,2116.52,4,2610,1,1,24.73,0
223,3151.19,8,662,1,1,17.97,0
224,820.08,23,1810,1,0,8.26,0
225,3534.54,17,2891,0,0,15.69,0
226,2246.24,13,2298,1,1,33.25,0
227,1375.46,0,459,4,0,7.17,0
228,4284.97,2,2831,1,0,14.7,1
229,828.06,4,2235,4,0,38.93,1
230,2009.71,1,1513,1,1,11.83,0
231,1504.98,18,2264,5,1,28.56,0
232,6961.09,4,1761,4,1,5.24,0
233,488.15,4,172,3,0,7.69,1
234,36.55,9,1494,3,0,18.69,0
235,3248.55,1,1466,1,0,38.71,0
236,63.5,6,2794,0,1,29.38,0
237,2939.8,7,2732,1,0,41.56,0
238,2267.0,3,1449,0,2,26.12,0
239,2763.02,17,1665,4,0,5.9,0
240,2847.52,19,634,2,0,24.33,0
241,3113.77,7,666,5,1,24.82,0
242,3202.75,5,1689,1,2,29.7,0
243,423.75,0,735,2,0,24.89,0
244,2677.34,23,1361,2,1,29.47,0
245,4295.4,13,2744,1,0,31.57,0
246,313.34,23,1017,2,0,3.53,0
247,2871.22,8,653,1,1,14.0,0
248,1094.14,22,443,4,1,7.13,0
249,1596.26,12,159,1,1,3.96,0
250,201.16,15,912,3,1,66.16,0
251,5229.76,6,1886,1,0,37.32,0
252,4662.22,11,1251,2,0,2.01,0
253,278.32,7,914,1,3,52.24,0
254,377.83,0,2704,2,0,6.53,0
255,611.77,6,1633,1,0,17.82,0
256,8474.39,10,1142,1,2,20.37,0
257,1838.5,2,1144,1,0,14.45,0
258,3922.54,11,2628,1,1,50.45,0
259,3209.68,16,1638,1,0,4.53,0
260,7101.52,21,2197,1,1,2.85,0
261,202.8,10,114,1,0,33.48,0
262,6902.76,3,1070,0,2,32.68,0
263,161.02,5,2379,1,2,7.21,0
264,1870.49,8,157,3,0,26.34,0
265,866.92,3,2444,3,2,22.59,1
266,1839.13,13,1416,1,2,51.23,0
267,1591.89,23,1285,2,0,11.34,0
268,4629.24,13,2484,1,0,42.5,0
269,4241.02,16,474,1,3,21.35,0
270,82.63,12,2362,0,0,14.36,0
271,2321.13,6,1044,1,1,41.19,0
272,683.59,1,2904,2,0,3.64,0
273,4797.19,13,7,3,1,31.68,0
274,972.64,16,2206,2,0,6.44,0
275,3186.49,21,2947,1,1,18.83,0
276,10245.28,23,2747,4,1,19.82,0
277,38.06,6,1492,4,1,20.42,0
278,3716.14,13,287,2,0,21.08,0
279,2044.92,21,1353,2,1,10.22,0
280,1282.86,19,1286,4,1,7.66,0
281,3016.53,21,511,0,1,5.71,0
282,5808.36,23,1231,2,1,19.02,0
283,1092.87,16,1267,1,0,25.28,0
284,4358.13,21,1673,3,1,18.59,0
285,1777.49,10,1649,3,1,4.29,0
286,7505.91,22,1212,2,2,13.19,1
287,9875.17,17,522,3,1,22.35,0
288,830.8,6,1723,0,0,51.76,0
289,2736.58,21,1553,1,1,34.01,0
290,614.92,21,713,0,0,49.21,0
291,105.86,19,2332,4,1,20.3,0
292,6335.37,9,1664,2,0,27.84,0
293,4460.06,17,2,4,0,5.29,0
294,330.2,9,1176,2,1,30.66,0
295,2117.28,6,1761,1,0,6.21,0
296,452.55,18,2485,2,0,29.16,0
297,2830.83,20,1320,1,0,8.82,0
298,2546.24,14,1810,3,0,0.04,0
299,362.57,14,2768,3,2,0.83,0
300,1588.09,6,2094,3,3,15.27,0
301,157.47,15,696,1,0,0.83,0
302,1827.72,21,348,1,0,21.86,0
303,220.96,9,2112,0,0,18.37,0
304,1347.87,21,2593,1,1,23.84,0
305,6207.25,19,1373,1,1,7.87,1
306,1644.72,2,963,2,0,17.17,0
307,2453.7,21,1272,4,0,8.87,0
308,4667.48,7,816,5,0,33.38,0
309,1391.69,4,101,3,0,7.11,0
310,1273.38,1,1003,1,1,10.7,0
311,223.24,15,2504,1,1,9.69,0
312,1815.42,2,1866,1,0,3.15,1
313,2112.35,13,2580,2,0,6.96,0
314,4234.39,18,797,1,1,7.76,0
315,1130.49,22,2853,4,1,16.42,0
316,502.22,12,2025,4,0,7.54,0
317,649.34,12,1000,0,0,24.59,0
318,449.67,4,2688,3,2,29.96,0
319,2907.97,22,23,1,0,67.89,0
320,9975.11,3,1742,4,1,15.06,0
321,967.93,7,721,2,0,14.73,0
322,2665.53,22,2122,1,0,22.81,0
323,1465.92,14,206,3,1,25.42,0
324,9373.91,17,1021,1,1,27.9,0
325,6707.31,3,1870,0,1,61.66,0
326,57.9,4,1904,4,0,18.85,0
327,4895.62,21,2176,1,1,4.29,1
328,4016.74,17,2439,2,1,32.13,0
329,4358.79,10,1813,2,0,11.74,0
330,204.87,19,2947,1,2,0.1,0
331,2218.05,16,1748,1,0,28.18,0
332,227.09,17,1827,1,0,33.75,0
333,4881.02,5,1945,3,0,27.71,0
334,2775.19,14,1062,2,1,9.79,0
335,2644.69,7,2612,1,1,31.87,0
336,2412.24,8,2136,1,1,26.19,0
337,1003.37,15,2568,0,1,1.45,1
338,2146.97,7,1125,0,0,37.42,0
339,194.22,14,318,1,0,2.17,0
340,1339.96,22,1171,2,2,37.51,0
341,1421.16,7,1113,1,1,46.38,0
342,13.12,10,1310,1,2,11.56,0
343,3637.43,17,331,1,1,12.21,0
344,2081.85,4,618,2,0,6.0,0
345,161.33,7,1569,4,1,9.54,0
346,2807.58,22,626,1,1,22.3,0
347,3105.5,22,877,2,1,4.12,0
348,2176.16,2,1700,2,0,11.74,0
349,58.55,13,1356,0,0,36.25,0
350,2712.58,17,1909,0,0,11.18,0
351,2195.87,13,256,3,0,10.25,0
352,53.12,6,1721,2,0,18.84,0
353,4.06,12,2393,4,2,30.47,0
354,203.86,22,81,1,0,3.73,0
355,1926.28,18,1559,0,4,10.2,1
356,455.27,15,25,3,1,2.67,0
357,3363.77,11,1224,1,1,34.75,0
358,192.67,12,1717,1,1,13.48,0
359,9505.56,17,2237,1,0,4.4,0
360,4934.66,19,904,2,0,19.49,0
361,1769.29,15,899,1,3,15.96,0
362,1723.41,8,1786,1,2,21.64,0
363,7154.6,15,119,5,0,4.23,0
364,3295.24,12,1377,1,1,31.62,1
365,27.24,21,2782,2,1,32.65,0
366,300.78,12,2967,1,0,5.96,0
367,378.4,5,1915,1,2,2.01,0
368,4210.5,4,2549,5,0,41.43,0
369,3206.85,17,111,1,1,15.53,0
370,110.05,12,2425,2,1,15.65,0
371,2603.14,18,2716,2,0,11.22,0
372,1940.71,0,344,1,0,33.43,0
373,1208.45,20,1756,2,0,15.22,0
374,4996.1,4,1892,4,0,29.19,0
375,2323.69,5,206,1,0,21.95,1
376,1616.47,8,1553,1,1,5.26,0
377,1086.97,10,867,1,2,39.35,0
378,1647.81,14,1339,1,1,31.41,0
379,1390.59,10,1553,5,1,51.04,0
380,4551.01,8,1727,2,0,22.66,0
381,1055.32,8,336,2,0,31.18,0
382,5272.18,15,80,5,1,18.14,0
383,651.64,23,2210,1,2,24.16,0
384,2057.08,1,1434,1,1,48.49,0
385,76.55,7,2663,1,2,30.48,0
386,2371.82,2,2670,1,0,5.03,0
387,5955.46,1,128,2,0,5.42,0
388,6153.47,7,817,2,1,2.26,0
389,7096.16,0,2545,0,1,20.52,0
390,1306.03,4,978,3,0,23.17,0
391,1009.6,4,1940,2,0,25.82,0
392,3339.46,21,469,1,0,11.93,0
393,320.66,18,893,1,0,11.57,0
394,360.76,14,2866,3,0,16.55,0
395,920.7,8,1511,1,0,33.97,0
396,2776.28,5,2482,0,0,10.72,0
397,1058.44,19,2943,0,0,44.97,0
398,45.68,3,671,3,1,39.96,0
399,2731.44,9,443,2,0,10.7,0
400,3623.34,18,106,2,0,20.54,0
401,1794.9,9,2359,3,2,14.53,0
402,4139.56,21,1538,2,0,11.51,0
403,27.29,12,2929,3,1,20.88,0
404,41.52,6,312,1,0,10.31,0
405,193.7,18,2829,4,3,16.52,1
406,2877.47,20,995,3,0,29.85,0
407,2634.45,3,2856,2,1,10.38,0
408,856.59,9,2803,2,2,44.07,0
409,1037.56,19,496,1,0,1.19,0
410,7856.44,18,169,0,1,15.08,0
411,904.27,11,2183,1,0,25.85,0
412,5048.05,13,2710,1,0,5.78,0
413,862.87,11,283,2,0,24.64,0
414,7352.85,16,2653,2,0,25.95,0
415,6270.16,10,52,0,0,18.5,0
416,5873.09,13,2008,5,0,74.71,0
417,592.62,3,1776,2,0,17.24,0
418,261.76,11,2604,0,0,49.89,0
419,829.38,14,2898,1,0,63.53,0
420,178.4,4,1784,1,0,23.66,0
421,2873.69,5,2138,2,0,36.72,0
422,2080.12,20,1107,3,0,36.1,0
423,373.98,19,2205,1,1,32.17,0
424,2126.64,15,1905,1,1,10.31,0
425,2467.57,13,2995,2,0,20.61,0
426,5167.62,18,1100,3,0,50.17,0
427,5792.53,10,1006,2,0,9.49,0
428,10332.23,2,1143,0,1,33.81,0
429,4886.08,14,999,3,0,10.09,0
430,1384.08,14,2335,4,0,14.42,0
431,1984.88,19,2737,0,2,42.93,0
432,4873.69,12,1378,1,1,23.29,0
433,558.56,0,2025,2,2,30.68,0
434,3002.21,10,745,1,1,21.21,0
435,1129.88,15,869,1,0,15.31,0
436,240.29,11,1059,4,0,33.05,0
437,919.83,10,1146,3,0,5.27,0
438,922.17,19,2873,4,0,29.02,0
439,1378.25,8,2277,1,0,21.99,0
440,3297.46,0,2117,3,4,16.3,0
441,208.87,6,351,0,1,30.14,0
442,18132.44,7,2950,1,0,27.25,1
443,68.04,13,2002,3,1,41.7,0
444,5444.22,17,985,4,0,27.59,0
445,4240.75,22,1951,2,0,29.07,0
446,1255.22,20,2916,1,3,18.18,0
447,2697.99,15,1836,0,0,38.79,0
448,8526.05,0,382,1,1,38.42,0
449,965.94,9,908,1,0,26.26,0
450,3305.7,12,2834,2,1,2.6,0
451,5463.35,7,1255,4,0,18.09,0
452,2625.38,21,2383,2,0,25.78,0
453,265.07,11,1939,4,2,2.91,0
454,17675.29,17,2175,0,1,34.92,0
455,1876.52,11,1743,1,0,21.86,0
456,266.83,23,2255,1,0,21.17,0
457,1899.59,10,1442,1,0,19.04,0
458,1184.71,22,1859,1,0,5.74,0
459,1317.0,8,1256,1,0,7.41,0
460,5999.87,8,945,1,0,21.64,0
461,2486.27,3,2955,1,0,8.31,0
462,959.13,6,1293,1,0,15.36,0
463,5184.35,3,2195,0,0,49.78,0
464,3300.75,22,759,3,3,8.58,1
465,2016.46,6,887,4,1,4.48,0
466,404.03,23,1984,2,0,24.29,0
467,2017.83,8,2968,2,0,2.85,0
468,614.7,18,2149,1,0,23.04,0
469,1009.39,19,1160,3,0,4.35,0
470,2441.1,3,796,2,1,38.9,0
471,6216.13,9,932,1,0,20.92,0
472,4162.07,11,735,1,0,22.5,0
473,1997.36,9,58,1,0,1.88,0
474,1893.72,22,2188,2,0,0.34,0
475,2725.79,4,1124,4,0,3.01,0
476,2864.54,1,224,3,0,7.2,0
477,1729.71,17,1197,1,0,16.06,0
478,3868.57,22,518,0,1,8.97,0
479,1432.91,20,2011,3,1,28.71,0
480,1469.75,3,51,0,0,51.97,0
481,2231.65,18,1165,2,0,16.84,0
482,925.68,15,1961,2,3,20.04,0
483,992.25,14,1396,1,1,6.77,0
484,1754.48,5,211,1,2,10.59,0
485,7919.66,8,1957,0,0,21.48,0
486,10333.23,3,268,2,0,7.95,0
487,4173.04,12,2015,5,0,27.71,0
488,1544.53,2,2364,5,0,7.35,0
489,1256.14,20,2812,2,1,13.75,0
490,2719.63,1,622,1,0,22.01,0
491,6981.03,4,2306,4,0,29.65,0
492,1187.11,9,349,0,2,20.77,0
493,1870.76,7,486,0,1,17.98,0
494,98.94,17,1705,2,0,1.41,0
495,1054.46,19,2442,5,0,6.73,0
496,2855.52,19,925,2,2,52.75,0
497,1350.88,16,1559,2,0,15.39,0
498,750.15,14,1814,3,0,41.64,0
499,8089.32,9,2411,0,2,14.46,0
500,527.42,13,1251,4,0,4.72,0
501,2846.41,18,2544,2,0,28.71,0
502,5056.87,1,2498,2,0,37.88,0
503,1599.07,23,407,2,0,7.46,0
504,128.46,6,2563,1,1,8.01,0
505,2094.04,6,1084,4,1,10.39,0
506,2273.34,21,333,4,1,49.05,0
507,1693.22,5,983,2,1,24.02,0
508,1180.07,5,2261,0,0,17.87,1
509,11498.91,2,642,3,1,12.41,0
510,927.45,0,1674,1,0,26.6,0
511,3494.69,14,2824,0,1,10.86,0
512,2372.01,19,1925,1,0,26.45,0
513,4247.58,9,134,1,0,35.97,0
514,798.99,7,1181,0,2,48.11,0
515,6084.18,22,1159,2,0,23.19,0
516,2625.82,22,1860,0,1,41.37,0
517,2662.76,2,2816,3,1,10.17,0
518,155.69,7,1084,3,0,30.6,0
519,7994.9,20,2416,0,0,31.84,0
520,711.45,21,811,1,0,7.62,0
521,1221.2,13,471,2,0,27.17,0
522,484.91,17,921,1,0,29.29,0
523,175.05,20,611,0,0,3.91,0
524,902.62,8,583,3,0,27.16,0
525,3347.74,2,245,4,1,8.94,1
526,14711.45,5,1260,3,1,32.87,0
527,1025.1,19,2332,2,0,29.25,0
528,675.17,9,1799,5,1,22.66,0
529,14471.0,3,1920,1,1,33.01,0
530,3385.52,22,1246,4,0,24.02,0
531,769.61,22,1649,2,1,36.46,0
532,3974.48,8,2050,3,0,21.51,1
533,255.36,17,2023,1,1,10.61,0
534,3270.37,14,330,1,1,18.79,0
535,2081.11,19,164,0,0,18.37,0
536,1565.61,13,1321,1,0,36.17,0
537,3590.32,19,1026,5,0,2.62,0
538,3013.0,0,375,1,1,0.76,0
539,2439.7,7,2762,1,0,0.2,0
540,3916.24,18,2405,1,0,20.74,0
541,1322.95,0,2754,1,0,27.17,1
542,2388.02,8,2361,2,0,70.32,0
543,1134.65,1,718,0,0,14.37,0
544,6205.35,15,2126,4,0,20.49,0
545,3438.92,20,1812,1,1,49.64,0
546,4200.84,8,744,4,0,29.06,0
547,1755.75,18,1786,2,0,66.09,0
548,269.88,20,2015,0,0,2.16,0
549,2358.06,2,1926,2,0,54.42,0
550,1103.51,11,1673,5,1,14.61,0
551,3629.35,10,1316,3,0,5.53,0
552,1512.23,21,429,3,0,39.6,0
553,2635.13,5,1351,2,0,10.01,0
554,18289.66,13,2842,2,0,15.44,0
555,1607.54,15,1181,2,1,23.01,0
556,1946.91,21,1641,3,0,17.62,0
557,532.58,17,151,2,0,34.92,0
558,1271.56,14,361,2,0,20.1,0
559,1514.1,10,1034,1,0,54.45,0
560,8418.74,10,475,3,0,12.72,0
561,5292.19,12,2108,3,2,23.72,0
562,8243.68,0,2694,4,1,35.64,0
563,986.91,17,1893,0,0,10.29,0
564,2744.83,13,223,2,0,45.59,0
565,5152.53,6,2124,4,1,24.33,0
566,9506.39,11,2551,2,1,41.92,0
567,184.31,15,2562,3,1,9.33,0
568,678.05,14,212,1,0,10.8,0
569,1980.85,6,1094,2,0,48.91,0
570,2448.48,17,537,1,0,52.95,0
571,614.72,9,1795,2,2,17.75,0
572,13670.66,22,1986,2,0,17.39,0
573,239.59,3,119,0,1,8.96,0
574,72.89,20,2494,1,0,37.06,0
575,2744.07,7,2908,2,0,27.41,0
576,1933.58,5,1273,1,0,35.8,0
577,4575.65,17,57,4,0,21.46,0
578,4815.71,17,1672,2,0,13.78,0
579,4891.46,2,921,1,1,40.59,0
580,2199.48,3,1891,1,1,29.34,0
581,518.55,3,2654,5,1,21.63,0
582,2571.19,4,2042,1,0,6.03,0
583,707.57,22,1196,1,0,21.62,0
584,3561.87,16,2890,4,0,44.02,0
585,1629.53,8,1702,2,0,21.8,0
586,72.71,15,1935,2,0,14.35,0
587,2947.95,7,1871,2,1,33.72,0
588,4984.74,17,593,4,0,18.7,0
589,850.5,12,781,2,0,0.5,0
590,565.61,19,2082,1,0,19.0,0
591,5011.8,23,560,0,1,12.85,0
592,3263.26,2,1132,4,1,34.99,0
593,6830.33,13,1393,1,0,15.0,0
594,819.63,16,1095,3,0,38.01,0
595,3112.01,0,1159,4,1,22.64,0
596,2567.43,23,1223,1,0,1.43,0
597,3108.76,18,2376,2,0,26.93,0
598,1387.21,21,2006,3,1,2.31,0
599,193.4,4,1830,1,0,34.8,0
600,1080.61,17,1984,3,2,3.26,0
601,2082.92,11,1362,2,0,22.47,0
602,9133.93,17,2226,3,1,21.25,0
603,423.61,12,1866,3,1,16.46,0
604,5673.37,10,773,1,1,12.0,0
605,3823.01,22,979,3,1,39.36,0
606,6342.83,18,1569,1,0,36.15,0
607,145.04,7,1683,3,0,12.19,0
608,1498.28,1,1304,1,0,21.15,0
609,1382.0,23,1938,1,0,35.25,0
610,2126.35,22,1562,2,0,11.84,0
611,2714.32,12,2719,3,1,8.99,0
612,4184.36,20,624,2,1,31.32,0
613,1269.44,15,152,0,0,13.18,1
614,7395.37,4,2058,2,0,6.83,1
615,3862.38,18,1360,2,0,9.67,0
616,3805.19,3,1804,0,0,14.79,0
617,794.74,3,2155,0,0,12.87,0
618,1252.21,14,63,3,1,5.92,0
619,1852.64,23,591,4,0,20.77,0
620,21.02,13,2682,1,1,3.75,0
621,1.79,4,307,1,0,20.42,0
622,1418.99,15,1086,3,0,24.43,0
623,186.35,10,2553,1,0,24.29,0
624,3022.81,22,1629,0,0,3.99,0
625,632.64,20,329,2,1,10.94,0
626,39.95,10,2763,6,0,19.41,0
627,1419.89,17,1557,2,1,15.69,0
628,4035.1,10,2568,1,0,24.37,0
629,1421.38,22,1999,1,0,7.34,0
630,1493.82,17,148,1,1,12.53,0
631,1441.94,19,281,3,0,20.58,0
632,214.61,7,2586,1,1,32.24,0
633,2722.49,21,1178,2,0,0.63,0
634,2755.97,7,371,3,0,5.5,0
635,595.93,13,404,0,1,7.2,0
636,2823.39,20,2884,1,0,37.94,0
637,1061.37,3,1818,0,1,6.23,0
638,7813.49,5,2843,2,1,14.09,0
639,2422.26,9,119,1,0,10.08,0
640,4279.15,1,1329,4,0,26.91,0
641,1876.67,1,1202,3,0,13.72,0
642,1299.97,11,1536,4,0,25.73,0
643,1354.16,13,597,6,0,48.38,0
644,4146.47,7,2176,2,1,3.85,0
645,1035.56,13,2319,2,3,33.99,0
646,3685.61,21,738,1,0,13.81,0
647,2.83,5,718,0,1,34.21,0
648,498.68,2,2497,6,1,24.25,0
649,381.39,12,2539,3,0,6.76,0
